#0-sellerid, 1-productid, 2-category, 3-appname, 4-appdescription1, 5-appdescription2, 6-appdescription3, 7-appdescription4, 8-appdescription5, 9-price, 10-appsize, 11-downloadsCR
1, 1, 0, Jeff Schmidt's Python, Aprende a programar en Python con la nueva app de Jeff Schmidt, La leyenda esta de vuelta con mas de 8000 cursos que cambiaran tu vida., Prueba tus habilidades con el nuevo multijugador de 24 personas donde tu y tus amigos, pueden unirse para usar clasicos como num % 10 y num // 10., Gana el que haga la funcion mas eficiente!,$0.99, 30.4MB,10
2, 2, 0, Weed Smoke PRO, Alguna vez has querido fumar hierba como los PROS? Con Weed Smoke PRO puedes, experimentar el THC como Bob Marley en crack o en hierba o en lo que quieras., Ahora puedes lucirte con tu amiga:, "Hey mae le hago a la mota. Soy mas PRO que el resto que no.", *Amiga no incluida,$4.20, 4.20MB, 0
3, 3, 0, Math with Ed Sheeran, "You look perfect tonight", La superestrella pop Ed Sheeran te comunica las maravillas de la matematica a traves de, excelentes letras y melodias pegajosas. Con esta app nunca tomaras un curso de, matematica de nuevo. Incluye exitos como "Shape of You" "Photograph" y "Thinking Out, Loud",$1.99, 20MB, 0
3, 4, 0, Taylor's Swift, Swift es lo ultimo en lenguajes de programacion., Tira Python a la basura y unite a Swift hoy., Aprende a programar en Swift con la ayuda de la superestrella Taylor Swift., Con retos diarios y actualizaciones Taylor's Swift es el futuro del software., ,$1.99, 25.4MB,4
4, 5, 0, The Pirate Bay, Arrr.. La vida de un pirata para mi., Conviertete en pirata hoy con The Pirate Bay., El unico sitio que te permite acceder a peliculas series y musica por el bajo precio de, GRATIS. Solo toca "GET" y voila! Podras invitar a tu persona especial a Netflix and chill., Digo digo Pirate Bay and chill Arrr...,Free, 9.6MB, 0
5, 6, 0, Apple Music, Obten acceso ilimitado a 45 millones de canciones on demand - sin anuncios., Busca miles de listas curadas y compartelas con tus amigos., Escucha tus DJ's favoritos y artistas en Beats 1., Mira contenido exclusivo y accede a nuevos albumes exclusivos de Apple Music., *Requiere suscripcion mensual de $5.99.,Free, 40.3MB, 0
6, 7, 0, Netflix, Ve series de TV y peliculas recomendadas solo para ti incluyendo ganadoras de premios, Netflix Originals series peliculas y documentales. Netflix tiene algo para todos., Haz streaming desde tu dispositivo de manera instantanea., Prueba Netflix por un mes gratis antes de suscribirte., *Precio de la suscripcion es $11.99. Por ahora. Apuesto que lo subimos de nuevo.,Free, 35.1MB, 0
3, 8, 0, Kiss me pls, "Settle down with me. Cover me up. Cuddle me in. Lie down with me. And hold me in your, arms. And your heart's against my chest. Your lips pressed to my neck. I'm falling for your, eyes. But they don't know me yet. And with a feeling I'll forget. I'm in love now. Kiss me, like you wanna be loved. You wanna be loved. You wanna be loved. This feels like falling, in love. Falling in love. Falling in love" - Ed *P.S: Es pecado traducir esto.,Free, 2MB, 0
3,17,0,Substract,El nuevo album de Ed Sheeran esta listo,Compralo antes de que se venda en tiendas,O escuchalo en Spotify,Digo en Apple Music no tenemos Spotify aqui,Por favor,6.99,30MB,0
1,18,0,Toblerone,asd,asd,asd,asd,ads,Free,asd,0
